thread_id,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
3,1745471450314.74,1745471450315.37,1745471450315.98,1745471450315.98,1745471451198.05,1745471451198.05,1745471451198.14,0.61,882.06,0.09,882.77
2,1745471450315.06,1745471451198.16,1745471451198.47,1745471451198.47,1745471451215.68,1745471451215.68,1745471451215.94,0.31,17.21,0.26,17.78
10,1745471450315.36,1745471451215.95,1745471451216.55,1745471451216.55,1745471451241.32,1745471451241.32,1745471451246.38,0.59,24.77,5.05,30.42
6,1745471450315.36,1745471451337.11,1745471451337.72,1745471451337.72,1745471451354.42,1745471451354.42,1745471451354.49,0.61,16.71,0.07,17.39
1,1745471450315.50,1745471451282.49,1745471451283.77,1745471451283.77,1745471451300.72,1745471451300.72,1745471451300.79,1.28,16.95,0.08,18.31
4,1745471450315.57,1745471451300.82,1745471451301.45,1745471451301.45,1745471451318.10,1745471451318.10,1745471451318.39,0.63,16.65,0.28,17.57
8,1745471450315.58,1745471451318.41,1745471451319.44,1745471451319.44,1745471451336.40,1745471451336.40,1745471451337.08,1.03,16.96,0.68,18.67
7,1745471450315.60,1745471451246.40,1745471451246.89,1745471451246.89,1745471451263.96,1745471451263.96,1745471451264.22,0.50,17.07,0.26,17.83
11,1745471450315.66,1745471451354.51,1745471451356.03,1745471451356.03,1745471451373.09,1745471451373.09,1745471451373.34,1.51,17.06,0.25,18.82
5,1745471450315.85,1745471451264.24,1745471451264.82,1745471451264.82,1745471451282.03,1745471451282.03,1745471451282.46,0.58,17.21,0.42,18.21
9,1745471450317.00,1745471451373.36,1745471451373.96,1745471451373.96,1745471451390.58,1745471451390.58,1745471451390.65,0.60,16.61,0.07,17.29
3,1745471451210.08,1745471451390.67,1745471451391.64,1745471451391.64,1745471451408.52,1745471451408.52,1745471451408.97,0.97,16.88,0.45,18.30
2,1745471451228.26,1745471451408.99,1745471451409.65,1745471451409.65,1745471451426.25,1745471451426.25,1745471451426.34,0.65,16.61,0.09,17.35
10,1745471451258.46,1745471451426.36,1745471451427.30,1745471451427.30,1745471451444.62,1745471451444.62,1745471451444.86,0.94,17.33,0.24,18.50
7,1745471451276.35,1745471451444.88,1745471451445.56,1745471451445.56,1745471451462.32,1745471451462.32,1745471451462.41,0.68,16.76,0.08,17.53
5,1745471451294.76,1745471451462.43,1745471451462.85,1745471451462.85,1745471451479.59,1745471451479.59,1745471451479.66,0.43,16.73,0.07,17.23
1,1745471451313.74,1745471451479.68,1745471451480.66,1745471451480.66,1745471451497.83,1745471451497.83,1745471451498.28,0.98,17.17,0.45,18.60
4,1745471451330.65,1745471451498.45,1745471451499.03,1745471451499.03,1745471451515.70,1745471451515.70,1745471451515.79,0.57,16.67,0.09,17.34
8,1745471451349.23,1745471451515.81,1745471451516.43,1745471451516.43,1745471451533.83,1745471451533.83,1745471451534.24,0.62,17.40,0.41,18.43
6,1745471451367.43,1745471451534.27,1745471451534.87,1745471451534.87,1745471451551.59,1745471451551.59,1745471451551.66,0.60,16.72,0.07,17.39
11,1745471451385.54,1745471451551.68,1745471451551.86,1745471451551.86,1745471451569.16,1745471451569.16,1745471451569.24,0.18,17.29,0.09,17.56
9,1745471451403.06,1745471451569.27,1745471451569.60,1745471451569.60,1745471451586.49,1745471451586.49,1745471451586.94,0.33,16.89,0.44,17.66
3,1745471451421.15,1745471451586.96,1745471451587.61,1745471451587.61,1745471451604.27,1745471451604.27,1745471451604.36,0.65,16.66,0.08,17.40
2,1745471451439.05,1745471451604.38,1745471451604.83,1745471451604.83,1745471451621.90,1745471451621.90,1745471451621.98,0.45,17.07,0.09,17.60
10,1745471451457.06,1745471451622.01,1745471451622.32,1745471451622.32,1745471451639.56,1745471451639.56,1745471451639.82,0.31,17.24,0.26,17.81
7,1745471451474.24,1745471451639.84,1745471451640.51,1745471451640.51,1745471451657.26,1745471451657.26,1745471451657.33,0.67,16.75,0.07,17.49
5,1745471451492.21,1745471451657.36,1745471451657.67,1745471451657.67,1745471451674.92,1745471451674.92,1745471451675.17,0.32,17.25,0.25,17.82
1,1745471451512.18,1745471451675.19,1745471451675.86,1745471451675.86,1745471451693.10,1745471451693.10,1745471451693.55,0.66,17.24,0.46,18.36
4,1745471451527.97,1745471451693.57,1745471451694.18,1745471451694.18,1745471451710.91,1745471451710.91,1745471451711.17,0.61,16.73,0.26,17.60
8,1745471451546.45,1745471451711.19,1745471451711.91,1745471451711.91,1745471451729.13,1745471451729.13,1745471451729.40,0.72,17.22,0.28,18.21
6,1745471451563.71,1745471451729.43,1745471451730.00,1745471451730.00,1745471451753.07,1745471451753.07,1745471451753.91,0.57,23.07,0.84,24.48
11,1745471451580.97,1745471451753.93,1745471451754.63,1745471451754.63,1745471451775.06,1745471451775.06,1745471451775.14,0.71,20.43,0.08,21.21
9,1745471451599.02,1745471451775.17,1745471451775.48,1745471451775.48,1745471451792.19,1745471451792.19,1745471451792.26,0.31,16.71,0.07,17.10
3,1745471451616.38,1745471451792.28,1745471451792.46,1745471451792.46,1745471451809.14,1745471451809.14,1745471451809.22,0.17,16.69,0.07,16.93
2,1745471451634.04,1745471451809.24,1745471451810.18,1745471451810.18,1745471451827.29,1745471451827.29,1745471451827.38,0.94,17.11,0.09,18.14
10,1745471451651.92,1745471451827.40,1745471451827.90,1745471451827.90,1745471451845.14,1745471451845.14,1745471451845.23,0.50,17.24,0.09,17.84
7,1745471451669.38,1745471451845.25,1745471451845.90,1745471451845.90,1745471451862.95,1745471451862.95,1745471451863.03,0.64,17.06,0.07,17.77
5,1745471451687.48,1745471451863.05,1745471451863.70,1745471451863.70,1745471451880.90,1745471451880.90,1745471451880.98,0.65,17.20,0.08,17.93
1,1745471451709.45,1745471451881.01,1745471451881.66,1745471451881.66,1745471451898.78,1745471451898.78,1745471451898.86,0.65,17.13,0.08,17.85
4,1745471451723.50,1745471451898.88,1745471451899.52,1745471451899.52,1745471451916.19,1745471451916.19,1745471451916.27,0.64,16.66,0.09,17.39
8,1745471451741.56,1745471451916.29,1745471451916.62,1745471451916.62,1745471451933.82,1745471451933.82,1745471451933.90,0.33,17.20,0.07,17.60
6,1745471451765.97,1745471451934.05,1745471451934.55,1745471451934.55,1745471451951.78,1745471451951.78,1745471451951.86,0.51,17.23,0.07,17.81
11,1745471451786.85,1745471451951.88,1745471451952.06,1745471451952.06,1745471451969.42,1745471451969.42,1745471451969.63,0.18,17.36,0.22,17.75
9,1745471451804.09,1745471451969.65,1745471451970.24,1745471451970.24,1745471451987.46,1745471451987.46,1745471451987.54,0.58,17.22,0.08,17.88
3,1745471451821.91,1745471451987.56,1745471451987.73,1745471451987.73,1745471452005.10,1745471452005.10,1745471452005.59,0.17,17.37,0.49,18.03
2,1745471451839.61,1745471452005.61,1745471452006.22,1745471452006.22,1745471452023.33,1745471452023.33,1745471452023.42,0.60,17.11,0.09,17.81
10,1745471451857.40,1745471452023.44,1745471452023.77,1745471452023.77,1745471452041.09,1745471452041.09,1745471452041.57,0.33,17.32,0.48,18.14
7,1745471451875.33,1745471452041.59,1745471452042.17,1745471452042.17,1745471452059.45,1745471452059.45,1745471452059.53,0.58,17.28,0.08,17.94
5,1745471451893.25,1745471452059.55,1745471452059.87,1745471452059.87,1745471452077.12,1745471452077.12,1745471452077.19,0.31,17.25,0.07,17.64
1,1745471451912.89,1745471452077.21,1745471452077.53,1745471452077.53,1745471452094.51,1745471452094.51,1745471452094.58,0.32,16.98,0.08,17.37
4,1745471451928.27,1745471452094.61,1745471452094.93,1745471452094.93,1745471452111.61,1745471452111.61,1745471452111.70,0.33,16.68,0.08,17.09
8,1745471451946.22,1745471452111.71,1745471452112.03,1745471452112.03,1745471452129.25,1745471452129.25,1745471452129.33,0.32,17.22,0.08,17.61
6,1745471451963.94,1745471452129.35,1745471452129.52,1745471452129.52,1745471452146.81,1745471452146.81,1745471452146.89,0.17,17.29,0.08,17.54
11,1745471451981.85,1745471452146.91,1745471452147.09,1745471452147.09,1745471452164.38,1745471452164.38,1745471452164.46,0.18,17.29,0.08,17.55
