thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
1,0,306,1745484462379.05,1745484462380.40,1745484462381.07,1745484462381.07,1745484463265.68,1745484463265.68,1745484463265.76,0.67,884.61,0.08,885.36
2,0,306,1745484462379.15,1745484463265.77,1745484463265.94,1745484463265.94,1745484463292.58,1745484463292.58,1745484463299.19,0.17,26.63,6.61,33.42
10,0,306,1745484462379.20,1745484463299.20,1745484463299.70,1745484463299.70,1745484463316.76,1745484463316.76,1745484463316.83,0.50,17.06,0.07,17.63
3,0,306,1745484462379.29,1745484463316.84,1745484463317.16,1745484463317.16,1745484463334.15,1745484463334.15,1745484463334.22,0.32,16.98,0.07,17.38
11,0,306,1745484462379.31,1745484463334.24,1745484463334.41,1745484463334.41,1745484463351.92,1745484463351.92,1745484463352.19,0.17,17.51,0.27,17.95
8,0,306,1745484462379.43,1745484463352.20,1745484463352.81,1745484463352.81,1745484463370.27,1745484463370.27,1745484463370.35,0.61,17.46,0.08,18.15
7,0,306,1745484462379.75,1745484463370.36,1745484463370.53,1745484463370.53,1745484463387.73,1745484463387.73,1745484463387.79,0.17,17.20,0.06,17.44
4,0,306,1745484462379.77,1745484463387.80,1745484463387.97,1745484463387.97,1745484463404.66,1745484463404.66,1745484463404.72,0.17,16.69,0.06,16.92
5,0,306,1745484462379.77,1745484463404.73,1745484463404.89,1745484463404.89,1745484463421.69,1745484463421.69,1745484463421.75,0.17,16.79,0.06,17.02
9,0,306,1745484462381.66,1745484463421.76,1745484463421.93,1745484463421.93,1745484463438.62,1745484463438.62,1745484463438.70,0.17,16.69,0.08,16.94
6,0,306,1745484462382.13,1745484463438.71,1745484463438.87,1745484463438.87,1745484463455.59,1745484463455.59,1745484463455.65,0.17,16.72,0.06,16.94
1,0,306,1745484463277.57,1745484463455.66,1745484463455.83,1745484463455.83,1745484463472.67,1745484463472.67,1745484463472.73,0.17,16.84,0.06,17.08
2,0,306,1745484463311.32,1745484463472.74,1745484463472.95,1745484463472.95,1745484463489.43,1745484463489.43,1745484463489.52,0.20,16.48,0.09,16.78
10,0,306,1745484463328.68,1745484463489.53,1745484463489.84,1745484463489.84,1745484463507.10,1745484463507.10,1745484463507.17,0.31,17.25,0.08,17.64
3,0,306,1745484463346.44,1745484463507.18,1745484463507.36,1745484463507.36,1745484463524.13,1745484463524.13,1745484463524.22,0.17,16.78,0.09,17.04
11,0,306,1745484463364.39,1745484463524.23,1745484463524.40,1745484463524.40,1745484463541.61,1745484463541.61,1745484463541.70,0.17,17.21,0.09,17.47
8,0,306,1745484463382.37,1745484463541.71,1745484463541.88,1745484463541.88,1745484463558.66,1745484463558.66,1745484463558.72,0.17,16.77,0.06,17.00
7,0,306,1745484463399.60,1745484463558.72,1745484463558.89,1745484463558.89,1745484463576.22,1745484463576.22,1745484463576.30,0.17,17.32,0.08,17.57
4,0,306,1745484463416.64,1745484463576.30,1745484463576.47,1745484463576.47,1745484463593.67,1745484463593.67,1745484463593.73,0.17,17.20,0.05,17.42
5,0,306,1745484463433.60,1745484463593.74,1745484463593.90,1745484463593.90,1745484463611.14,1745484463611.14,1745484463611.20,0.17,17.24,0.06,17.47
9,0,306,1745484463450.48,1745484463611.21,1745484463611.38,1745484463611.38,1745484463628.68,1745484463628.68,1745484463628.74,0.17,17.30,0.06,17.53
6,0,306,1745484463467.59,1745484463628.75,1745484463628.93,1745484463628.93,1745484463646.21,1745484463646.21,1745484463646.29,0.18,17.28,0.08,17.54
1,0,306,1745484463484.75,1745484463646.29,1745484463646.46,1745484463646.46,1745484463663.88,1745484463663.88,1745484463663.94,0.17,17.41,0.07,17.65
2,0,306,1745484463501.49,1745484463663.95,1745484463664.13,1745484463664.13,1745484463680.67,1745484463680.67,1745484463680.94,0.18,16.54,0.27,16.99
10,0,306,1745484463518.90,1745484463680.95,1745484463681.53,1745484463681.53,1745484463698.79,1745484463698.79,1745484463698.88,0.58,17.26,0.09,17.93
3,0,306,1745484463536.20,1745484463698.89,1745484463699.06,1745484463699.06,1745484463715.86,1745484463715.86,1745484463715.93,0.17,16.80,0.07,17.04
11,0,306,1745484463553.43,1745484463715.94,1745484463716.11,1745484463716.11,1745484463733.35,1745484463733.35,1745484463733.44,0.17,17.24,0.09,17.50
8,0,306,1745484463570.75,1745484463733.45,1745484463733.63,1745484463733.63,1745484463750.41,1745484463750.41,1745484463750.47,0.18,16.78,0.06,17.01
7,0,306,1745484463588.30,1745484463750.48,1745484463750.65,1745484463750.65,1745484463767.94,1745484463767.94,1745484463768.01,0.17,17.30,0.07,17.54
4,0,306,1745484463605.70,1745484463768.02,1745484463768.19,1745484463768.19,1745484463785.46,1745484463785.46,1745484463785.53,0.17,17.27,0.07,17.51
5,0,306,1745484463623.10,1745484463785.54,1745484463785.71,1745484463785.71,1745484463803.03,1745484463803.03,1745484463803.09,0.17,17.32,0.06,17.55
9,0,306,1745484463640.73,1745484463803.10,1745484463803.27,1745484463803.27,1745484463820.51,1745484463820.51,1745484463820.57,0.17,17.24,0.06,17.47
6,0,306,1745484463658.32,1745484463820.58,1745484463820.75,1745484463820.75,1745484463838.06,1745484463838.06,1745484463838.13,0.17,17.32,0.07,17.55
1,0,306,1745484463676.03,1745484463838.14,1745484463838.31,1745484463838.31,1745484463855.51,1745484463855.51,1745484463855.59,0.17,17.20,0.08,17.45
2,0,306,1745484463693.19,1745484463855.60,1745484463855.77,1745484463855.77,1745484463872.30,1745484463872.30,1745484463872.57,0.17,16.53,0.27,16.97
10,0,306,1745484463710.58,1745484463872.58,1745484463872.88,1745484463872.88,1745484463890.17,1745484463890.17,1745484463890.45,0.30,17.29,0.27,17.87
3,0,306,1745484463727.89,1745484463890.46,1745484463890.77,1745484463890.77,1745484463908.01,1745484463908.01,1745484463908.07,0.31,17.24,0.06,17.61
11,0,306,1745484463745.19,1745484463908.07,1745484463908.24,1745484463908.24,1745484463925.49,1745484463925.50,1745484463925.58,0.17,17.25,0.09,17.51
8,0,306,1745484463762.51,1745484463925.59,1745484463926.09,1745484463926.09,1745484463943.05,1745484463943.05,1745484463943.11,0.50,16.96,0.06,17.52
7,0,306,1745484463779.95,1745484463943.12,1745484463943.29,1745484463943.29,1745484463960.48,1745484463960.48,1745484463960.55,0.17,17.19,0.08,17.43
