thread_id,worker_start_time,worker_request_time,worker_receive_time,worker_end_time,push_time,compute_time,pull_time,total_gpu_time,preprocessing_time,postprocessing_time,total_time
11,1745471450298.44,1745471450315.66,1745471451373.51,1745471451374.03,1.51,17.06,0.25,18.82,17.22,0.53,1075.60
1,1745471450298.55,1745471450315.50,1745471451300.81,1745471451301.49,1.28,16.95,0.08,18.31,16.95,0.68,1002.94
4,1745471450298.56,1745471450315.57,1745471451318.56,1745471451319.19,0.63,16.65,0.28,17.57,17.01,0.63,1020.63
2,1745471450298.57,1745471450315.06,1745471451216.11,1745471451216.74,0.31,17.21,0.26,17.78,16.49,0.63,918.18
8,1745471450298.58,1745471450315.58,1745471451337.25,1745471451337.78,1.03,16.96,0.68,18.67,17.00,0.53,1039.20
7,1745471450298.58,1745471450315.60,1745471451264.39,1745471451264.87,0.50,17.07,0.26,17.83,17.02,0.48,966.29
3,1745471450298.60,1745471450314.74,1745471451198.31,1745471451198.53,0.61,882.06,0.09,882.77,16.14,0.22,899.93
9,1745471450298.61,1745471450317.00,1745471451390.82,1745471451391.70,0.60,16.61,0.07,17.29,18.39,0.88,1093.09
6,1745471450298.62,1745471450315.36,1745471451354.66,1745471451355.98,0.61,16.71,0.07,17.39,16.75,1.32,1057.36
10,1745471450298.65,1745471450315.36,1745471451246.54,1745471451246.96,0.59,24.77,5.05,30.42,16.71,0.42,948.32
5,1745471450298.65,1745471450315.85,1745471451282.63,1745471451283.35,0.58,17.21,0.42,18.21,17.20,0.72,984.69
3,1745471451198.84,1745471451210.08,1745471451409.14,1745471451409.70,0.97,16.88,0.45,18.30,11.24,0.56,210.86
2,1745471451217.05,1745471451228.26,1745471451426.50,1745471451427.50,0.65,16.61,0.09,17.35,11.20,0.99,210.45
10,1745471451247.26,1745471451258.46,1745471451445.03,1745471451445.63,0.94,17.33,0.24,18.50,11.20,0.59,198.37
7,1745471451265.18,1745471451276.35,1745471451462.58,1745471451462.80,0.68,16.76,0.08,17.53,11.16,0.22,197.62
5,1745471451283.65,1745471451294.76,1745471451479.83,1745471451480.87,0.43,16.73,0.07,17.23,11.11,1.04,197.21
1,1745471451301.94,1745471451313.74,1745471451498.29,1745471451499.78,0.98,17.17,0.45,18.60,11.80,1.48,197.84
4,1745471451319.49,1745471451330.65,1745471451515.96,1745471451516.65,0.57,16.67,0.09,17.34,11.16,0.69,197.16
8,1745471451338.09,1745471451349.23,1745471451534.42,1745471451534.91,0.62,17.40,0.41,18.43,11.14,0.49,196.82
6,1745471451356.28,1745471451367.43,1745471451551.83,1745471451552.27,0.60,16.72,0.07,17.39,11.15,0.44,195.99
11,1745471451374.34,1745471451385.54,1745471451569.41,1745471451569.64,0.18,17.29,0.09,17.56,11.20,0.23,195.30
9,1745471451391.99,1745471451403.06,1745471451587.10,1745471451587.68,0.33,16.89,0.44,17.66,11.08,0.57,195.69
3,1745471451410.01,1745471451421.15,1745471451604.53,1745471451604.91,0.65,16.66,0.08,17.40,11.15,0.38,194.91
2,1745471451427.78,1745471451439.05,1745471451622.15,1745471451622.53,0.45,17.07,0.09,17.60,11.27,0.38,194.75
10,1745471451445.92,1745471451457.06,1745471451639.99,1745471451640.58,0.31,17.24,0.26,17.81,11.14,0.59,194.66
7,1745471451463.08,1745471451474.24,1745471451657.50,1745471451657.94,0.67,16.75,0.07,17.49,11.16,0.44,194.86
5,1745471451481.18,1745471451492.21,1745471451675.34,1745471451676.06,0.32,17.25,0.25,17.82,11.03,0.72,194.89
1,1745471451500.12,1745471451512.18,1745471451693.57,1745471451694.25,0.66,17.24,0.46,18.36,12.06,0.68,194.12
4,1745471451516.95,1745471451527.97,1745471451711.34,1745471451712.12,0.61,16.73,0.26,17.60,11.01,0.78,195.16
8,1745471451535.20,1745471451546.45,1745471451729.58,1745471451730.19,0.72,17.22,0.28,18.21,11.25,0.61,195.00
6,1745471451552.56,1745471451563.71,1745471451754.08,1745471451754.49,0.57,23.07,0.84,24.48,11.15,0.42,201.93
11,1745471451569.91,1745471451580.97,1745471451775.32,1745471451775.53,0.71,20.43,0.08,21.21,11.06,0.21,205.62
9,1745471451587.98,1745471451599.02,1745471451792.44,1745471451792.68,0.31,16.71,0.07,17.10,11.04,0.24,204.70
3,1745471451605.22,1745471451616.38,1745471451809.38,1745471451810.39,0.17,16.69,0.07,16.93,11.16,1.01,205.17
2,1745471451622.82,1745471451634.04,1745471451827.55,1745471451828.08,0.94,17.11,0.09,18.14,11.23,0.54,205.27
10,1745471451640.87,1745471451651.92,1745471451845.41,1745471451845.95,0.50,17.24,0.09,17.83,11.06,0.55,205.08
7,1745471451658.23,1745471451669.38,1745471451863.20,1745471451863.91,0.64,17.06,0.07,17.77,11.14,0.72,205.68
5,1745471451676.36,1745471451687.48,1745471451881.15,1745471451881.86,0.65,17.20,0.08,17.93,11.13,0.71,205.51
1,1745471451694.66,1745471451709.45,1745471451898.88,1745471451899.59,0.65,17.13,0.08,17.85,14.79,0.71,204.93
4,1745471451712.41,1745471451723.50,1745471451916.45,1745471451916.88,0.64,16.66,0.09,17.39,11.09,0.43,204.47
8,1745471451730.48,1745471451741.56,1745471451934.07,1745471451934.77,0.33,17.20,0.07,17.60,11.08,0.70,204.29
6,1745471451754.79,1745471451765.97,1745471451952.03,1745471451952.46,0.51,17.23,0.07,17.81,11.18,0.43,197.67
11,1745471451775.81,1745471451786.85,1745471451969.81,1745471451970.45,0.18,17.36,0.22,17.75,11.04,0.64,194.63
9,1745471451792.99,1745471451804.09,1745471451987.71,1745471451988.16,0.58,17.22,0.08,17.88,11.11,0.44,195.17
3,1745471451810.68,1745471451821.91,1745471452005.75,1745471452006.39,0.17,17.37,0.49,18.03,11.23,0.64,195.71
2,1745471451828.37,1745471451839.61,1745471452023.58,1745471452023.95,0.60,17.11,0.09,17.81,11.24,0.37,195.58
10,1745471451846.24,1745471451857.40,1745471452041.74,1745471452042.36,0.33,17.32,0.48,18.14,11.16,0.62,196.12
7,1745471451864.20,1745471451875.33,1745471452059.70,1745471452060.10,0.58,17.28,0.08,17.94,11.13,0.41,195.90
5,1745471451882.15,1745471451893.25,1745471452077.36,1745471452077.79,0.31,17.25,0.07,17.64,11.10,0.43,195.64
1,1745471451900.04,1745471451912.89,1745471452094.67,1745471452095.30,0.32,16.98,0.08,17.37,12.85,0.62,195.25
4,1745471451917.19,1745471451928.27,1745471452111.87,1745471452112.31,0.33,16.68,0.08,17.09,11.08,0.44,195.12
8,1745471451935.06,1745471451946.22,1745471452129.51,1745471452129.94,0.32,17.22,0.08,17.61,11.16,0.44,194.88
6,1745471451952.76,1745471451963.94,1745471452147.06,1745471452147.49,0.17,17.29,0.08,17.54,11.17,0.43,194.73
11,1745471451970.73,1745471451981.85,1745471452164.63,1745471452165.04,0.18,17.29,0.08,17.55,11.12,0.41,194.31
9,1745471451988.45,1745471451999.58,1745471452182.25,1745471452182.69,0.31,17.21,0.07,17.59,11.13,0.44,194.24
3,1745471452006.68,1745471452017.93,1745471452199.93,1745471452200.56,0.17,17.28,0.21,17.66,11.25,0.62,193.87
2,1745471452024.24,1745471452035.45,1745471452217.58,1745471452217.96,0.59,16.94,0.09,17.62,11.22,0.39,193.72
10,1745471452042.66,1745471452053.72,1745471452235.54,1745471452236.18,0.30,17.36,0.27,17.94,11.07,0.64,193.52
7,1745471452060.40,1745471452071.62,1745471452253.49,1745471452253.93,0.58,17.27,0.08,17.93,11.22,0.44,193.53
5,1745471452078.08,1745471452089.14,1745471452271.34,1745471452271.99,0.32,17.26,0.25,17.83,11.06,0.65,193.90
1,1745471452095.71,1745471452107.79,1745471452289.04,1745471452289.51,0.58,17.01,0.07,17.67,12.08,0.47,193.80
4,1745471452112.60,1745471452123.70,1745471452306.56,1745471452307.19,0.45,16.80,0.26,17.51,11.10,0.63,194.59
8,1745471452130.23,1745471452141.30,1745471452324.42,1745471452324.86,0.58,17.18,0.08,17.84,11.06,0.44,194.63
6,1745471452147.79,1745471452158.93,1745471452342.52,1745471452343.16,0.17,17.39,0.52,18.08,11.14,0.63,195.36
11,1745471452165.34,1745471452176.44,1745471452360.93,1745471452361.57,0.58,17.33,0.47,18.38,11.10,0.64,196.24
9,1745471452182.97,1745471452194.05,1745471452378.59,1745471452378.73,0.60,16.96,0.08,17.64,11.08,0.14,195.76
3,1745471452200.86,1745471452212.09,1745471452395.86,1745471452396.24,0.44,16.72,0.08,17.24,11.23,0.38,195.38
2,1745471452218.25,1745471452229.40,1745471452413.81,1745471452414.36,0.33,17.11,0.50,17.94,11.14,0.55,196.11
